File description:;geoCore input file containing general project information;;;;;;;;
File purpose:;Provide asset project and parent development area metadata, coordinate reference system, and boundary coordinates;;;;;;;;
File naming:;"""input_project_{area_code}.csv""";;;;;;;;
File format:;"Shall be saved as a semi-colon delimited, "".csv"" file";;;;;;;;
File location:;"Shall be saved in the Geolog directory: ""G:\01_Departments\GTSC\Geolog\projects\{area_code}\data\input_files""";;;;;;;;
Supporting documentation:;See geodb-connect repository documentation for furthe rinformation and mappings on to geoCore tables;;;;;;;;
;;;;;;;;;
***revision_history;;;;;;;;;
date;author;accuracy_level;checked;QA_level;document_number;reviewed;accepted;restrictions;changelog
20260720;JONWH;3;JONWH;1;;;;;First version
;;;;;;;;;
::revision_history;Keeps track of input_file revision history;;;;;;;;
:date;Date of creation or modification of the file (yyyymmdd);;;;;;;;
:author;Initials of the GA engineer taking responsibility for the document content;;;;;;;;
:accuracy_level;An accuracy level (0-5) shall be assigned to the technical documentation relative to the project phases;;;;;;;;
:accuracy_level.choice;0;Design Calculations: Preliminary. Based on regional experience and/or approximate conditions described.;;;;;;;
:;;Examples of use: Determining whether a project can be outright rejected.;;;;;;;
:accuracy_level.choice;1;Design Calculations: Preliminary. Based on estimates of suitable parameters from similar/neighbouring projects.;;;;;;;
:;;Examples of use: Determine possible foundation concepts and preliminary budgets in early project development phases.;;;;;;;
:accuracy_level.choice;2;Design Calculations: Preliminary. Based on estimated stratigraphy combined with site-specific global parameters (GT1).;;;;;;;
:;;Examples of use: Diameter study;;;;;;;
:accuracy_level.choice;3;Design Calculations: Detailed. Based on position specific stratigraphy and soil parameters (GT2); input parameters still not fully finalised.;;;;;;
:;;Examples of use: Detailed design calculations;;;;;;;
:accuracy_level.choice;4;Design Calculations: Detailed. Based on detailed position specific stratigraphy and soil parameters; input parameters not necessarily documented or certified.;;;;;;
:;;Examples of use: Detailed design calculations;;;;;;;
:accuracy_level.choice;5;Design Calculations: Detailed. Based on certified stratigraphy and input parameters.;;;;;;;
:;;Examples of use: Final design calculations. Steel order.;;;;;;;
:checked;Initials of GA lead engineer performing quality control and assurance of the document;;;;;;;;
:QA_level;A QA framework (1-3) shall be considered in relation to the WTG foundation design process;;;;;;;;
:QA_level.choice;1;Must always be performed.;;;;;;;
:;;QA responsible: Preparer (self-check) - All geotechnical engineers (juniors to be assisted by appointed engineer).;;;;;;;
:QA_level.choice;2;For any deliverable outside ï¿½rsted's GEO dept.;;;;;;;
:;;QA responsible: Reviewer - Senior specialist appointed by line manager.;;;;;;;
:QA_level.choice;3;For any deliverable outside ï¿½rsted (e.g. to certification organisations, OEMs, JV partners);;;;;;;
:;;QA responsible: Reviewer - Senior Specialist appointed by line manager.;;;;;;;
:document_number;Associated DORECO document (GIR, memo etc.) number;;;;;;;;
:reviewed;Initials of senior specialist performing independent QA of input file content;;;;;;;;
:accepted;Initials of line management or senior specialist approval of ensuring consistent quality;;;;;;;;
:restrictions;Restrictions on use of the file;;;;;;;;
:changelog;Detail description of changes and motivation behind the changes introduced in this version of the file;;;;;;;;
;;;;;;;;;
**development_area;;;;;;;;;
all;;;;;;;;;
area_code;area_name;region_code;sea_area_code;country_code;;;;;
text;text;text;text;text;;;;;
HEW;Hesselø;EUR;KAT;DK;;;;;
;;;;;;;;;
::development_area;asset project's parent development area information table;;;;;;;;
:area_code;unique 3 letter keyword assigned to asset project development area (e.g. HOW, CHW, GIP);;;;;;;;
:area_name;generalised area name assigned to the development area (e.g. Hornsea, Changhua, Gippsland);;;;;;;;
:region code;geographical region code assigned to the development area;;;;;;;;
:region_code.choice;AFR;Afirca;;;;;;;
:region_code.choice;APAC;Asia-Pacific;;;;;;;
:region_code.choice;EUR;Europe;;;;;;;
:region_code.choice;NAM;North America;;;;;;;
:region_code.choice;SAM;South America;;;;;;;
:sea_area_code;unique 3 letter keyword defining the sea area code assigned to the development area;;;;;;;;
:sea_area_code.choice;ARA;Arabian Sea;;;;;;;
:sea_area_code.choice;BAL;Baltic Sea;;;;;;;
:sea_area_code.choice;BEN;Bay of Bengal;;;;;;;
:sea_area_code.choice;CEL;Celtic Sea;;;;;;;
:sea_area_code.choice;ECS;East China Sea;;;;;;;
:sea_area_code.choice;ENG;English Channel;;;;;;;
:sea_area_code.choice;GME;Gulf of Mexico;;;;;;;
:sea_area_code.choice;GSL;Gulf of St. Lawrence;;;;;;;
:sea_area_code.choice;IND;Indian Ocean;;;;;;;
:sea_area_code.choice;IRS;Irish Sea;;;;;;;
:sea_area_code.choice;JPS;Sea of Japan;;;;;;;
:sea_area_code.choice;KAT;Kattegat;;;;;;;
:sea_area_code.choice;MED;Mditerranean Sea;;;;;;;
:sea_area_code.choice;NAO;North Atlantic Ocean;;;;;;;
:sea_area_code.choice;NPO;North Pacific Ocean;;;;;;;
:sea_area_code.choice;NSE;North Sea;;;;;;;
:sea_area_code.choice;PER;Persian Gulf;;;;;;;
:sea_area_code.choice;PHS;Philippine Sea;;;;;;;
:sea_area_code.choice;SAO;South Atlantic Ocean;;;;;;;
:sea_area_code.choice;SCS;South China Sea;;;;;;;
:sea_area_code.choice;SKA;Skagerrak;;;;;;;
:sea_area_code.choice;SPO;South Pacific Ocean;;;;;;;
:sea_area_code.choice;TAS;Tasman Sea;;;;;;;
:sea_area_code.choice;YEL;Yellow Sea;;;;;;;
:country_code;unique 2 letter keyword defining the country code assigned to the development area;;;;;;;;
:country_code.choice;various (see ISO 3166-1 alpha-2 codes for full list);;;;;;;;
;;;;;;;;;
**project;;;;;;;;;
all;;;;;;;;;
project_code;project_name;capacity;number_of_turbines;foundation_type;status;;;;
text;text;MW;-;text;text;;;;
HEW01;Hesselø 1 (Nord);1005;-;FIXED;CA;;;;
HEW02;Hesselø 2 (Syd);800;44;MP;AF;;;;
;;;;;;;;;
::project;asset project general information;;;;;;;;
:project_code;unique 5 character alpha-numeric assigned to the project (e.g. HOW04, CHW22, GIP01);;;;;;;;
:project_name;official asset project name (e.g. Hesselï¿½ 2 (syd), Greater Changhua 2b);;;;;;;;
:capacity;asset project capacity (estimated or as-installed);;;;;;;;
:number_of_turbines;number of wind turbine generators planned/installed at the asset project;;;;;;;;
:foundation_type;foundation type(s) planned/installed at the asset project;;;;;;;;
:foundation_type.choice;FIXED;Multiple fixed-bottom foundation types under consideration;;;;;;;
:foundation_type.choice;FLOAT;Multiple floating anchor foundation types under consideration;;;;;;;
:foundation_type.choice;GB;Mono gravity based structure;;;;;;;
:foundation_type.choice;MB;Mono suction caisson;;;;;;;
:foundation_type.choice;MP;Monopile;;;;;;;
:foundation_type.choice;MULT;Multiple foundation types installed;;;;;;;
:foundation_type.choice;PJ;Piled jacket;;;;;;;
:foundation_type.choice;SBJ;Suction bucket jacket;;;;;;;
:status;asset project status;;;;;;;;
:status.choice;AF;assessment and feasibility;;;;;;;
:status.choice;CA;cancelled;;;;;;;
:status.choice;DEV;in active development;;;;;;;
:status.choice;FC;fully commissioned;;;;;;;
:status.choice;OH;on hold;;;;;;;
:status.choice;UC;under construction;;;;;;;
;;;;;;;;;
**coordinate_reference_system;;;;;;;;;
HEW01;;;;;;;;;
coordinate_system_type;EPSG_code;spheroid;datum;map_projection;horizontal_unit;EPSG_code_vertical;vertical_datum;vertical_unit;
text;-;text;text;text;text;-;text;text;
PROJECTED;25832;GRS 1980;ETRS 1989;UTM Zone 32N;m;10549;LAT;m;
;;;;;;;;;
**coordinate_reference_system;;;;;;;;;
HEW02;;;;;;;;;
coordinate_system_type;EPSG_code;spheroid;datum;map_projection;horizontal_unit;EPSG_code_vertical;vertical_datum;vertical_unit;
text;-;text;text;text;text;-;text;text;
PROJECTED;25832;GRS 1980;ETRS 1989;UTM Zone 32N;m;10549;LAT;m;
;;;;;;;;;
::coordinate_reference_system;The coordinate reference system (CRS) used to define asset project locations;;;;;;;;
:coordinate_system_type;;;;;;;;;
:coordinate_system_type.choice;GEOGRAPHIC;CRS uses a three-dimensional spherical surface to define locations on the earth (DO NOT USE);;;;;;;
:coordinate_system_type.choice;PROJECTED;projected coordinate systems are defined on a flat plane;;;;;;;
:EPSG_code;unique 4 to 6 digit number that defines the parameters of the adopted CRS;;;;;;;;
:spheroid;spheroid / ellipsoid adopted in the CRS;;;;;;;;
:datum;horizontal datum adopted in the CRS;;;;;;;;
:map_projection;map projection;;;;;;;;
:horizontal_unit;horizontal units;;;;;;;;
:horizontal_unit.choice;m;meters (applicable to projected CRS);;;;;;;
:horizontal_unit.choice;DMS;degrees:minutes:seconds (applicable to geographic CRS - to be avoided);;;;;;;
:EPSG_code_vertical;unique 4 to 6 digit number that defines the parameters of the adopted vertical CRS;;;;;;;;
